Article_No,Category,Product_Name,Material,Specifications,Application,Source_Page
5000-8000,Pumps,OTAL ® disposable pumps,"PE, PVC","sal plug.                                 Delivery tubes PE for OTAL® disposable pumps, 10 pieces Code N4",,9
5005-1200,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",1       14              12          PP              70 Code N4,Acids/alkalis,11
5005-4000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",3   26                  18          AISI 304        90 Code N4,Acids/alkalis,11
5005-1500,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",1       20              15          PP              70 Code N4,Acids/alkalis,11
5005-6000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",4   12                  12          PP/PVC          70 Code N4,Acids/alkalis,11
5005-1800,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",1       26              18          PP              70 Code N4,Acids/alkalis,11
5005-1000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",5   4                   10          PP              45 Code N4,Acids/alkalis,11
5005-3000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",2       20              16          PVDF            70 Code N4,Acids/alkalis,11
5005-7000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",6   5                   12          PP/PVC          70 Code N4,Acids/alkalis,11
5000-4016,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",2   20                   16            PVDF             70 Code N4,Acids/alkalis,13
5000-5018,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",4  OTAL ® foot pump with hose and stopcock                                 3   26                   18            AISI 304         90 Code N4,Acids/alkalis,13
5000-3012,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",4   12                   12            PP/PVC           70 Code N4,Acids/alkalis,13
5005-7000,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",OTAL ® foot pump with hose and tap with delivery tubes made of PP          5   5                    12            PP/PVC           70 Code N4,Acids/alkalis,13
5000-6000,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",and a 1.5 m discharge hose made of PVC with stopcock made of PP/           5   5                    12            PP/PVC           70 Code N4,Acids/alkalis,13
0600-3002,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Thread adapters PP outer/outer 2” coarse thread Tri-Sure - 64 mm (BSI) Code N4,Acids/alkalis,14
5201-0030,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Code N4,Acids/alkalis,14
0600-3003,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Thread adapters PP outer/outer 2” BSP - 64 mm (BSI) Code N4,Acids/alkalis,14
0600-1014,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Thread adapters PP outer/inner 64 mm (BSI) - DIN 60 Code N4,Acids/alkalis,14
0600-1016,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Thread adapters PP outer/inner 64 mm (BSI) - DIN 51 Code N4,Acids/alkalis,14
0600-1013,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Thread adapters PP outer/inner 64 mm (BSI) - DIN 61 Code N4,Acids/alkalis,14
0600-1001,Pumps,Pump-it ® container pump                                                                               Adapter set Pump-it ®,"FKM, PE, PP",Thread adapters PP outer/inner 64 mm (BSI) - DIN 71 Code N4,Acids/alkalis,14
5202-1001,Pumps,"PumpMaster container pumps | flexible, for universal use","EPDM, FKM, NBR, PP",Discharge hose with shut-off valve for PumpMaster for acids and chemical liquids Code N4,Acids/alkalis,15
5607-1004,Pumps,Dosing pumps Dosi-Pump,"PE, PP, stainless steel",1       4                21               25 Code N3,,16
5607-2030,Pumps,Dosing pumps Dosi-Pump,"PE, PP, stainless steel",2       30               28.5             38.5 Code N3,,16
5607-3030,Pumps,Dosing pumps Dosi-Pump,"PE, PP, stainless steel",3       30               22               33.5 Code N3,,16
5607-4100,Pumps,Dosing pumps Dosi-Pump,"PE, PP, stainless steel",4       100              28.5             29.5 Code N3,,16
5607-5250,Pumps,Dosing pumps Dosi-Pump,"PE, PP, stainless steel",5       250              28.5             41.5 Code N3,,16
5600-3130,Pumps,PTFE barrel pumps Ultrapure,"AISI 304, FEP, PP, PTFE, PVC, PVDF","PP barrel screw joint, G 2”, steel ﬁne outer thread Code N4",Ultra-pure media,17
5600-3170,Pumps,PTFE barrel pumps Ultrapure,"AISI 304, FEP, PP, PTFE, PVC, PVDF","   Immersion tube Ø 32 mm                                              PP barrel screw joint, Mauser 2”, coarse outer thread Code N4",Ultra-pure media,17
5600-3180,Pumps,PTFE barrel pumps Ultrapure,"AISI 304, FEP, PP, PTFE, PVC, PVDF","PP barrel screw joint, Tri-Sure, coarse outer thread Code N4",Ultra-pure media,17
5601-0120,Pumps,PTFE barrel pumps Ultrapure,"AISI 304, FEP, PP, PTFE, PVC, PVDF","   All valves are made of solid PTFE/PVDF                              Universal thread adapterAISI 304, Ø 48-75 mm, G2” connector thread Code N4",Ultra-pure media,17
5618-0200,Pumps,PTFE barrel pumps Ultrapure,"AISI 304, FEP, PP, PTFE, PVC, PVDF","   Top quality – 3 years’ warranty                                     Drum holder for placing ﬁlling containers, AISI 304 Code N4",Ultra-pure media,17
5600-3140,Pumps,PP barrel pumps | robust industrial quality,"AISI 304, PP, PTFE, PVC",6 Container screw joint Code N4,,19
5600-3150,Pumps,PP barrel pumps | robust industrial quality,"AISI 304, PP, PTFE, PVC","7 PVC barrel plug, dia. 40–70 mm (not for EX zone) Code N4",,19
5600-0100,Pumps,PP barrel pumps | robust industrial quality,"AISI 304, PP, PTFE, PVC",Discharge hose 1.2 m PVC with stopcock for PP barrel pump Code N4,,19
5601-0120,Pumps,PP barrel pumps | robust industrial quality,"AISI 304, PP, PTFE, PVC","8 Universal thread adapterAISI 304, Ø 48-75 mm, G2” connector thread Code N4",,19
5618-1000,Pumps,PP barrel pumps | robust industrial quality,"AISI 304, PP, PTFE, PVC",Drain safety stand (see page 50) Code N4,,19
5618-0200,Pumps,PP barrel pumps | robust industrial quality,"AISI 304, PP, PTFE, PVC","Drum holder for placing ﬁlling containers, AISI 304 Code N4",,19
5601-0130,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel",with discharge tube.                                   en          t e st e d                  5 Gastight barrel connector G 2” steel ﬁne outer thread Code N4,Flammable liquids,21
5601-0090,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel",a ti o n N o. 0        Discharge hose 1.2 m with stainless steel/PTFE stopcoc Code N4,Flammable liquids,21
5601-0080,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel", Removable discharge tube                                                                    Discharge tube for stainless steel barrel pump Code N4,Flammable liquids,21
5600-3150,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel","PVC barrel plug, dia. 40–70 mm (not for EX zone) Code N4",Flammable liquids,21
5601-0120,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel","6 Universal thread adapterAISI 304, Ø 48-75 mm, G2” connector thread Code N4",Flammable liquids,21
5618-1000,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel",Drain safety stand (see page 50) Code N4,Flammable liquids,21
5618-0200,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel","Drum holder for placing ﬁlling containers, AISI 304 Code N4",Flammable liquids,21
5600-3130,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel","Stainless steel barrel pump - discharge hose/stopcock                                         PP barrel screw joint, G 2”, steel ﬁne outer thread Code N4",Flammable liquids,21
5600-3170,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel","Barrel pump stainless steel with discharge hose and stopcock made                             PP barrel screw joint, Mauser 2”, coarse outer thread Code N4",Flammable liquids,21
5600-3180,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel","of stainless steel and PTFE, can conduct electricity.                                         PP barrel screw joint, Tri-Sure, coarse outer thread Code N4",Flammable liquids,21
5690-0090,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel",Universal barrel spanner Code N4,Flammable liquids,21
2502-2010,Pumps,Stainless Steel Barrel Pump | for flammable liquids,"AISI 304, Brass, PP, PTFE, PVC, Stainless Steel, Stainless steel, stainless steel",   Immersion tube Ø 32 mm                                                                    Casual style safety goggles Code N3,Flammable liquids,21
0006-6009,Pumps,Solvent pump foot operated,"AISI 304, PTFE, stainless steel","Air ﬁlters for solvent pump, ﬁlter class F5, 10 pieces Code N4",Flammable liquids,22
5602-1000,Pumps,Solvent pump hand operated,"AISI 304, PTFE, stainless steel",set!                                             Anti-static set Code N4,Flammable liquids,23
5602-1000,Pumps,Withdrawal system for solvents,"PTFE, stainless steel",Anti-static set Code N4,Solvents,25
0006-4000,Pumps,Mini solvent pump | reliable filling of small quantities,"AISI 304, AISI 316L, ETFE, PTFE, stainless steel","Thread adapter for Mini solvent pump, PTFE, GL 45 - S 40 Code N4",Flammable liquids,26
0006-4002,Pumps,Mini solvent pump | reliable filling of small quantities,"AISI 304, AISI 316L, ETFE, PTFE, stainless steel","Sturdiness for long service life                                          Thread adapter for Mini solvent pump, ETFE, GL 45 - GL 38 Code N4",Flammable liquids,26
0006-4003,Pumps,Mini solvent pump | reliable filling of small quantities,"AISI 304, AISI 316L, ETFE, PTFE, stainless steel","Thread adapter for Mini solvent pump, ETFE, GL 45 - GL 32 Code N4",Flammable liquids,26
0006-9506,Pumps,Mini solvent pump | reliable filling of small quantities,"AISI 304, AISI 316L, ETFE, PTFE, stainless steel","Thanks to its sturdy design and high-quality materials, the Mini sol-     Hose cutter Code N3",Flammable liquids,26
5314-0100,Pumps,Mini solvent pump | reliable filling of small quantities,"AISI 304, AISI 316L, ETFE, PTFE, stainless steel","vent pump consistently ensures neat and reliable filling throughout       Glass sampling bottle 1000 ml, GL 45 Code N3",Flammable liquids,26
8804-0608,Pumps,Mini solvent pump | reliable filling of small quantities,"AISI 304, AISI 316L, ETFE, PTFE, stainless steel","its long service life, easily and conveniently.                           Suction hose PTFE on roll 6 x 8 mm, roll with 5 m Code N3",Flammable liquids,26
5602-1000,Containers,Anti-static set | prevents electrostatic build-up,,Code N4,Flammable liquids,27
5600-3140,Containers,Barrel screw joints,"Brass, FKM, PP, PVC, brass, stainless steel",60                               32 Code N4,Flammable liquids,28
5600-3150,Containers,Barrel screw joints,"Brass, FKM, PP, PVC, brass, stainless steel",40–70                               32 Code N4,Flammable liquids,28
0600-3006,Containers,Thread adapters,Stainless steel,18      S 61x6 (DIN61) / S 56x4 (Tri-Sure)                                   black/orange Code N4,,29
0600-3007,Containers,Thread adapters,Stainless steel,"offer assistance.                            19      S 61x6 (DiN61) / G2""                                                 black Code N4",,29
0600-3004,Containers,Thread adapters,Stainless steel,20      S 70x6 (Mauser) / S 64x5                                             green Code N4,,29
0600-3002,Containers,Thread adapters,Stainless steel,Instructions for determing the               21      S 56x4 (Tri-Sure) / S 64x5                                           brown Code N4,,29
0600-3003,Containers,Thread adapters,Stainless steel,"22      G 2"" / S 64x5                                                        blue Code N4",,29
0600-3010,Containers,Thread adapters,Stainless steel,"thread can be found on page 276.             23      Adapter set, consisting of 1,2, 15 and 17 Code N4",,29
5610-1030,Containers,Gas-tight barrel pump PP | odour-free liquid transfer                                                             Gas-tight stainless steel pump,"PE, PP, PTFE, PVC, Stainless steel, stainless steel",1 with universal adapter 34–70 mm Ø               200 Code N4,Flammable liquids,30
5610-1040,Containers,Gas-tight barrel pump PP | odour-free liquid transfer                                                             Gas-tight stainless steel pump,"PE, PP, PTFE, PVC, Stainless steel, stainless steel",2 with 2 screw joint adapters 3/4” with lock nuts 200 Code N4,Flammable liquids,30
5611-1090,Containers,Gas-tight barrel pump PP | odour-free liquid transfer                                                             Gas-tight stainless steel pump,"PE, PP, PTFE, PVC, Stainless steel, stainless steel",57                69                330 Code N4,Flammable liquids,30
5611-0090,Containers,Gas-tight barrel pump PP | odour-free liquid transfer                                                             Gas-tight stainless steel pump,"PE, PP, PTFE, PVC, Stainless steel, stainless steel",91                103               540 Code N4,Flammable liquids,30
5613-0030,Containers,Lever pump aluminium                                        Piston pump PP                                  Compact lever pump,"NBR, PA, PP, aluminium",Code N4,Acids/alkalis,31
5613-0020,Containers,Lever pump aluminium                                        Piston pump PP                                  Compact lever pump,"NBR, PA, PP, aluminium",100 Code N4,Acids/alkalis,31
5613-0041,Containers,Lever pump,"AISI 304, FKM, stainless steel",cm                                                    yellow Code N4,Acids/alkalis,32
5605-1000,Containers,Siphon with stopcock | for occasional drawing off of liquids,"LDPE, PP, PVC",LDPE/PVC/PP       100                  15                   9 Code N4,,33
5600-3130,Pumps,AccuOne barrel pump                                                                   EnergyOne barrel pump,PP,"PP barrel screw joint, G 2”, steel ﬁne outer thread Code N4",,35
5600-3130,Pumps,AccuOne barrel pump                                                                   EnergyOne barrel pump,PP,"PP barrel screw joint, G 2”, steel ﬁne outer thread Code N4",,35
5600-3170,Pumps,AccuOne barrel pump                                                                   EnergyOne barrel pump,PP,"PP barrel screw joint, Mauser 2”, coarse outer thread Code N4",,35
5600-3170,Pumps,AccuOne barrel pump                                                                   EnergyOne barrel pump,PP,"PP barrel screw joint, Mauser 2”, coarse outer thread Code N4",,35
5600-3180,Pumps,AccuOne barrel pump                                                                   EnergyOne barrel pump,PP,"PP barrel screw joint, Tri-Sure, coarse outer thread Code N4",,35
5600-3180,Pumps,AccuOne barrel pump                                                                   EnergyOne barrel pump,PP,"PP barrel screw joint, Tri-Sure, coarse outer thread Code N4",,35
5900-3100,Pumps,AccuOne / EnergyOne | Accessories                                                         Laboratory pump mains operated,"AISI 304, FKM, PP, PVC","11 Pump station Accu/EnergyOne, submersible length 100 cm Code N4",Acids/alkalis,36
5700-0111,Pumps,AccuOne / EnergyOne | Accessories                                                         Laboratory pump mains operated,"AISI 304, FKM, PP, PVC",Flow meter PP 1” (see page 38) Code N2,Acids/alkalis,36
5780-0020,Pumps,"Electric barrel pump Petro | for Diesel oil, class D/II fuel oil",,Volume readout Petro Code N2,Petrochemicals,37
5700-0121,Pumps,Drum pump for acids and alkalis                                         Drum pump for concentrated acids/alkalis,"Hastelloy, PP, PVC, PVDF",Flow meter PP 1 1/4” (see page 38) Code N2,Acids/alkalis,38
5700-0141,Pumps,Drum pump for acids and alkalis                                         Drum pump for concentrated acids/alkalis,"Hastelloy, PP, PVC, PVDF",Flow meter PVDF 1 1/4” (see page 38) Code N2,Acids/alkalis,38
5763-0100,Pumps,Drum pump for mineral oils                                             Drum pump for solvents,"AISI 316, Brass, PP, PVC, aluminium, stainless steel",100                          41 Code N2,Flammable liquids,39
5763-0301,Pumps,Drum pump for mineral oils                                             Drum pump for solvents,"AISI 316, Brass, PP, PVC, aluminium, stainless steel",100                         41 Code N2,Flammable liquids,39
5700-0111,Pumps,Flow meters                                                                                Double-diaphragm pump 1/4“,"EPDM, Hastelloy, NBR, PP, PTFE, PVDF","PP, Hastelloy C22, for fuel oil, diesel, 5 - 120         G 1” Code N2",Acids/alkalis,40
5765-0001,Pumps,Flow meters                                                                                Double-diaphragm pump 1/4“,"EPDM, Hastelloy, NBR, PP, PTFE, PVDF","PTFE               sod. hydroxide,                                                         Diaphragms/valve balls/seals: NBR, valve seat/   52              4 Code N2",Acids/alkalis,40
5700-0141,Pumps,Flow meters                                                                                Double-diaphragm pump 1/4“,"EPDM, Hastelloy, NBR, PP, PTFE, PVDF","PVDF, Hastelloy    for highly aggres- 5 - 120            G 1 1/4” Code N2",Acids/alkalis,40
5765-0002,Pumps,Flow meters                                                                                Double-diaphragm pump 1/4“,"EPDM, Hastelloy, NBR, PP, PTFE, PVDF","Diaphragms: TPC-ET + TFM (PTFE), valve balls/    52              4 Code N2",Acids/alkalis,40
5765-0003,Pumps,Flow meters                                                                                Double-diaphragm pump 1/4“,"EPDM, Hastelloy, NBR, PP, PTFE, PVDF","chlorine bleaches,                                                      Diaphragms: TPV (EPDM-PP), valve balls/seals:    52              4 Code N2",Acids/alkalis,40
5765-0004,Pumps,Flow meters                                                                                Double-diaphragm pump 1/4“,"EPDM, Hastelloy, NBR, PP, PTFE, PVDF","acid, etc.                                                              Diaphragms: TPV (EPDM-PP) + TFM (PTFE), valve    52              4 Code N2",Acids/alkalis,40
5625-2002,Pumps,Magnetic centrifugal pumps                                                 AirJet Mini membrane vacuum pump,"EPDM, FKM, PP, PTFE, stainless steel",2 AirJet Mini ﬁne regulation head Code N2,Acids/alkalis,41
5766-0002,Pumps,Magnetic centrifugal pumps                                                 AirJet Mini membrane vacuum pump,"EPDM, FKM, PP, PTFE, stainless steel","2 29 Watt, with R 3/4” outer thread Code N2",Acids/alkalis,41
5625-2003,Pumps,Magnetic centrifugal pumps                                                 AirJet Mini membrane vacuum pump,"EPDM, FKM, PP, PTFE, stainless steel",3 AirJet Mini sound absorber Code N2,Acids/alkalis,41
0525-3000,Containers,"StopCocks | completely water-tight, easily operated","PE, PP, PTFE",2 3/4’’ outer thread                3/4’’ outer thread Code N4,,42
0525-1312,Containers,"StopCocks | completely water-tight, easily operated","PE, PP, PTFE",Hose nozzle StopCock 12 mm Code N4,,42
0525-5000,Containers,"StopCocks | completely water-tight, easily operated","PE, PP, PTFE",3 3/4’’ inner thread cap nut        3/4’’ outer thread Code N4,,42
0525-1316,Containers,"StopCocks | completely water-tight, easily operated","PE, PP, PTFE",Hose nozzle StopCock 16 mm Code N4,,42
0525-7000,Containers,"StopCocks | completely water-tight, easily operated","PE, PP, PTFE",4 3/4’’ inner thread cap nut        3/4’’ inner thread cap nut Code N4,,42
0525-1400,Containers,"StopCocks | completely water-tight, easily operated","PE, PP, PTFE",Discharge angle Code N4,,42
0530-1000,Containers,Compact spigot,"PE, PP, PTFE",3/4’’ inner thread cap nut Code N4,Acids/alkalis,43
0435-0001,Containers,Compact jerrycan & StopCock set                                       Compact jerrycan & Compact stop cock set,,5 Code N4,,44
0435-3000,Containers,Compact jerrycan & StopCock set                                       Compact jerrycan & Compact stop cock set,,5 Code N4,,44
0435-0010,Containers,Compact jerrycan & StopCock set                                       Compact jerrycan & Compact stop cock set,,10 Code N4,,44
0435-3010,Containers,Compact jerrycan & StopCock set                                       Compact jerrycan & Compact stop cock set,,10 Code N4,,44
5602-1000,Containers,"Compact jerrycan set, electroconductive                                            StopCock PA, electroconductive","PA, PTFE",Anti-static set Code N4,Solvents,45
0006-4514,Containers,Ball valve PP                                                           Ball valves PP for barrels,"FKM, PP, PTFE","Sealing tape PTFE, width 12 mm, length 12 m Code N3",,46
0533-0010,Containers,"Ball valve PP, food                                                                                     Spigot “Air”","EPDM, NBR, PE, PP, PTFE",Code N3,,47
0535-0020,Containers,Stainless steel spigot                                                                Spigot “Brass”,"AISI 304, Brass, FKM, NBR, PTFE, Stainless steel, stainless steel",Code N4,Petrochemicals,48
0535-0010,Containers,Stainless steel spigot                                                                Spigot “Brass”,"AISI 304, Brass, FKM, NBR, PTFE, Stainless steel, stainless steel",Code N4,Petrochemicals,48
0600-0020,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC",2       20x4 (Kautex)                                      G 3/4“                  blue          PP Code N4,,49
0600-0050,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC",Code N4,,49
0600-0150,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC","3       G 3/4""                                             G 3/4“                  black         PP Code N4",,49
0600-0030,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC","4       R 3/4""                                             G 3/4“                  green         PP Code N4",,49
0600-0094,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC",5       S 56x4 (Tri-Sure)                                  G 3/4“                  green/white   PP/PE Code N4,,49
0600-0120,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC",6       S 70x6 (Mauser)                                    G 3/4“                  green/white   PP/PE Code N4,,49
0600-0190,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC","7       G 2""                                               G 3/4“                  green/white   PP/PE Code N4",,49
0600-0090,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC","8       G 3/4""                                                                     grey          PVC Code N4",,49
0600-0001,Containers,Adapter set LaboPlast ®                      Thread adapters LaboPlast ® 3/4”,"PE, PP, PVC",9       hexagonal key for thread adapter                                           blue          PP Code N4,,49
0534-0020,Containers,"Spigot Jumbo, with tap                                                Barrel valve","NBR, PE, PP",Code N4,,50
0536-0010,Containers,"Spigot Jumbo, with tap                                                Barrel valve","NBR, PE, PP",Code N4,,50
0534-0001,Containers,IBC discharge valves,"PA, PP",Code N3,,51
5618-1000,Containers,Drain safety stand                               General pump accessories,"PE, PP, PTFE",117               35 Code N4,Acids/alkalis,52
8538-0200,Containers,Drain safety stand                               General pump accessories,"PE, PP, PTFE",2”                   ﬁts outer thread                10 Code N3,Acids/alkalis,52
8539-0012,Containers,Drain safety stand                               General pump accessories,"PE, PP, PTFE",1/2’’                ﬁts inner thread                10 Code N3,Acids/alkalis,52
8539-0034,Containers,Drain safety stand                               General pump accessories,"PE, PP, PTFE",3/4’’                ﬁts inner thread                10 Code N3,Acids/alkalis,52
8539-0100,Containers,Drain safety stand                               General pump accessories,"PE, PP, PTFE",1’’                  ﬁts inner thread                10 Code N3,Acids/alkalis,52
2507-0002,Containers,"Rubiflex protective gloves                                     Protective gloves nitrile                   Plastic apron, PVC",PVC,1 standard                37 Code N3,Solvents,53
2507-0004,Containers,"Rubiflex protective gloves                                     Protective gloves nitrile                   Plastic apron, PVC",PVC,Code N3,Solvents,53
2507-1001,Containers,"Rubiflex protective gloves                                     Protective gloves nitrile                   Plastic apron, PVC",PVC,Code N3,Solvents,53
2507-0003,Containers,"Rubiflex protective gloves                                     Protective gloves nitrile                   Plastic apron, PVC",PVC,2 long wrist              60 Code N3,Solvents,53
5618-0200,Pumps,Drum holder | for setting down containers                                                   SafetyBox,"AISI 304, Stainless steel, stainless steel",Code N4,,54
2507-9000,Pumps,Drum holder | for setting down containers                                                   SafetyBox,"AISI 304, Stainless steel, stainless steel",Code N3,,54
2515-0100,Pumps,Eyes Fresh mini eyewash station                                                         Eye rinsing bottle,PE,Press button for normal use Code N4,,55
2507-2001,Pumps,Eyes Fresh mini eyewash station                                                         Eye rinsing bottle,PE,Code N3,,55
2502-4000,Pumps,Eye protection / safety goggles,,"fect fit without pressure points, lateral safety shields    blue Code N3",,56
2502-1009,Pumps,Eye protection / safety goggles,,ment. Suitable for all spectacles and panoramic gog-        black Code N3,,57
5316-1055,Samplers,Zone samplers | for all kinds of bulk goods,"AISI 316L, Aluminium, PTFE, aluminium, stainless steel",sampling depth.                                                       AISI 316L/PTFE       55         430         1              17 Code N4,,63
5316-1085,Samplers,Zone samplers | for all kinds of bulk goods,"AISI 316L, Aluminium, PTFE, aluminium, stainless steel",AISI 316L/PTFE       85         710         1              17 Code N4,,63
5316-1150,Samplers,Zone samplers | for all kinds of bulk goods,"AISI 316L, Aluminium, PTFE, aluminium, stainless steel",AISI 316L/PTFE       150        1355        1              17 Code N4,,63
5304-0040,Samplers,Jumbo Sampler                                                                                                     Depth stop for samplers,"AISI 304, Aluminium, PP, PTFE, PVC, aluminium, stainless steel",25                            40                               PVC/stainless steel Code N4,,64
5304-0060,Samplers,Jumbo Sampler                                                                                                     Depth stop for samplers,"AISI 304, Aluminium, PP, PTFE, PVC, aluminium, stainless steel",25                            60                               PVC/stainless steel Code N4,,64
5304-0080,Samplers,Jumbo Sampler                                                                                                     Depth stop for samplers,"AISI 304, Aluminium, PP, PTFE, PVC, aluminium, stainless steel",25                            80                               PVC/stainless steel Code N4,,64
5304-0100,Samplers,Jumbo Sampler                                                                                                     Depth stop for samplers,"AISI 304, Aluminium, PP, PTFE, PVC, aluminium, stainless steel",25                            100                              PVC/stainless steel Code N4,,64
5304-5100,Samplers,Jumbo Sampler                                                                                                     Depth stop for samplers,"AISI 304, Aluminium, PP, PTFE, PVC, aluminium, stainless steel",50                            100                              PVC/stainless steel Code N4,,64
5304-5300,Samplers,Jumbo Sampler                                                                                                     Depth stop for samplers,"AISI 304, Aluminium, PP, PTFE, PVC, aluminium, stainless steel",Quali-Paper for zone sampler            Cleaning brushes                      50                            300                              PVC/stainless steel Code N4,,64
5317-0001,Samplers,Zone sampler Spiralus                                                              EasySampler | easy to empty,"AISI 316L, Aluminium, PA, Stainless steel",Quali-Paper Code N4,,65
5360-0600,Samplers,Zone sampler Spiralus                                                              EasySampler | easy to empty,"AISI 316L, Aluminium, PA, Stainless steel",60                  100               32 Code N4,,65
5360-1000,Samplers,Zone sampler Spiralus                                                              EasySampler | easy to empty,"AISI 316L, Aluminium, PA, Stainless steel","200                 104,5             32 Code N4",,65
5310-0003,Samplers,All-layer drill                                                                        Core Sampler,"AISI 316, AISI 316L, Stainless steel, stainless steel",800                 25                  230 Code N4,,66
5304-0100,Samplers,All-layer drill                                                                        Core Sampler,"AISI 316, AISI 316L, Stainless steel, stainless steel","Cleaning brushes 25 mm dia., length 100 cm Code N4",,66
5347-0025,Samplers,All-layer-scratcher                                                             Scratcher | for non-pourable substances,"AISI 316L, PTFE, Stainless steel, stainless steel",25                  110                32 Code N2,,67
5304-0100,Samplers,All-layer-scratcher                                                             Scratcher | for non-pourable substances,"AISI 316L, PTFE, Stainless steel, stainless steel","Cleaning brushes 25 mm dia., length 100 cm Code N4",,67
5302-0316,Samplers,PowderProof ® | mobile powder sampling,"AISI
                                                  301, AISI 316L, LDPE, Stainless steel","Spiral screw for PowderProof® for powders up to 2 mm dia., for 300 mm Code N2",,69
5302-0616,Samplers,PowderProof ® | mobile powder sampling,"AISI
                                                  301, AISI 316L, LDPE, Stainless steel","Spiral screw for PowderProof® for powders up to 2 mm dia., for 600 mm Code N2",,69
5302-0916,Samplers,PowderProof ® | mobile powder sampling,"AISI
                                                  301, AISI 316L, LDPE, Stainless steel","Spiral screw for PowderProof® for powders up to 2 mm dia., for 900 mm Code N2",,69
